obs_id,facility_id,trial_id,bag_id,item_id,trial_stage,weight1,weight2,weight3,mean_weight_final_g,%_not_decomposed,%_decomposed,bag_intact,photo_available,notes,outlier_alert
199,44547.0,44547-01-21,44547_01_21_A_1,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
200,44547.0,44547-01-21,44547_01_21_A_2,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
201,44547.0,44547-01-21,44547_01_21_A_3,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
202,44547.0,44547-01-21,44547_01_21_A_4,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
203,44547.0,44547-01-21,44547_01_21_A_5,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
204,44547.0,44547-01-21,44547_01_21_A_6,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
205,44547.0,44547-01-21,44547_01_21_A_1,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
206,44547.0,44547-01-21,44547_01_21_A_2,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
207,44547.0,44547-01-21,44547_01_21_A_3,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
208,44547.0,44547-01-21,44547_01_21_A_4,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
209,44547.0,44547-01-21,44547_01_21_A_5,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
210,44547.0,44547-01-21,44547_01_21_A_6,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
211,44547.0,44547-01-21,44547_01_21_A_1,6,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
212,44547.0,44547-01-21,44547_01_21_A_2,6,End,11.42,11.42,11.42,11.42,96.21,3.79,True,True,,False
213,44547.0,44547-01-21,44547_01_21_A_3,6,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
214,44547.0,44547-01-21,44547_01_21_A_4,6,End,31.2,31.19,31.17,31.19,262.76,-162.76,True,True,,True
215,44547.0,44547-01-21,44547_01_21_A_5,6,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
216,44547.0,44547-01-21,44547_01_21_A_6,6,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
217,44547.0,44547-01-21,44547_01_21_A_1,7,Start,29.77,29.77,29.75,29.76,100.0,0.0,True,True,,False
218,44547.0,44547-01-21,44547_01_21_A_2,7,Start,29.77,29.77,29.75,29.76,100.0,0.0,True,True,,False
219,44547.0,44547-01-21,44547_01_21_A_3,7,Start,29.77,29.77,29.75,29.76,100.0,0.0,True,True,,False
220,44547.0,44547-01-21,44547_01_21_A_4,7,Start,29.77,29.77,29.75,29.76,100.0,0.0,True,True,,False
221,44547.0,44547-01-21,44547_01_21_A_5,7,Start,29.77,29.77,29.75,29.76,100.0,0.0,True,True,,False
222,44547.0,44547-01-21,44547_01_21_A_6,7,Start,29.77,29.77,29.75,29.76,100.0,0.0,True,True,,False
